final_expected_J,final_optimality_gap,final_regret,final_entropy,final_infeasible_mass,mean_stability_tv,max_stability_tv,run_id,diffusion,drift_scale,lambda_shape,projection_strength
0.0024787646297855207,0.0024787646297855207,0.0046012254254985075,3.178342735624338,2.9600833552415674e-05,0.03836133232889361,0.2559099163500581,30,0.00042,0.18,2.6,0.85
0.022198844202723955,0.022198844202723955,0.013154130159234763,5.30887961539458,0.0013086831305977593,0.029996805132418376,0.1863695447879093,31,0.00042,0.28,0.9,0.65
0.021637277163278547,0.021637277163278547,0.012391402889721351,5.304133245409524,0.0005431455583360146,0.030315007603005047,0.24588524941301357,32,0.00042,0.28,0.9,0.85
0.006094129485726275,0.006094129485726275,0.006848787217487018,3.7107313263569486,0.0005370782295906004,0.03605323177308519,0.1975301667865695,33,0.00042,0.28,1.7,0.65
0.005864994450961976,0.005864994450961976,0.0065409884376335025,3.7083247571361015,0.00022879444145257368,0.03641097982858983,0.2512924145584069,34,0.00042,0.28,1.7,0.85
0.002977125968659042,0.002977125968659042,0.005313495170336064,3.1912039370266454,9.670282032345551e-05,0.038803158815078995,0.20790890778444335,35,0.00042,0.28,2.6,0.65
0.0029383826377578515,0.0029383826377578515,0.005258357002046539,3.1911428674911093,4.1397639686970254e-05,0.03914213655308382,0.25614849318123306,36,0.00042,0.28,2.6,0.85
0.03407004454126844,0.03407004454126844,0.022314171226774503,5.744675067523304,0.0003593043393000364,0.0275450759712381,0.18527172962170457,37,0.0008,0.1,0.9,0.65
0.03391782973665886,0.03391782973665886,0.02210445031680992,5.7433734810088675,0.00014918515012399296,0.027853478178331174,0.2453492438823366,38,0.0008,0.1,0.9,0.85
0.011605667430403187,0.011605667430403187,0.009986024013445713,4.620521569480817,0.0001872716648009939,0.032729761127231326,0.1965339075194566,39,0.0008,0.1,1.7,0.65
0.011525328508392527,0.011525328508392527,0.009878080813799156,4.619622384440166,7.980245076331026e-05,0.03308770413314596,0.25081255260394714,40,0.0008,0.1,1.7,0.85
0.005776664642550644,0.005776664642550644,0.006082785702553846,3.961902080970617,4.254597437237841e-05,0.03548285080478676,0.20690197316036518,41,0.0008,0.1,2.6,0.65
0.005758411607772858,0.005758411607772858,0.0060583549878457455,3.9616392311651514,1.8218159084497963e-05,0.03583287166775565,0.2557140453856456,42,0.0008,0.1,2.6,0.85
0.028027605663735758,0.028027605663735758,0.01689336816705773,5.599837913756557,0.0007007205570875134,0.028538810487994785,0.1857537756785379,43,0.0008,0.18,0.9,0.65
0.02773027051924494,0.02773027051924494,0.016485071288654046,5.597533656508747,0.00029084313701309677,0.028851306168594434,0.24558477531460693,44,0.0008,0.18,0.9,0.85
0.008427065867789862,0.008427065867789862,0.007716731806022096,4.351215228138459,0.0003578958924138555,0.0337903339926828,0.1969724706742885,45,0.0008,0.18,1.7,0.65
0.00827505218388601,0.00827505218388601,0.007511511815147995,4.349685909878404,0.00015248469764456366,0.03414790559711887,0.2510239538789038,46,0.0008,0.18,1.7,0.85
0.002918924700652868,0.002918924700652868,0.00492366352186444,3.3503685752700116,8.421710859001001e-05,0.0376309969292775,0.20734675940955885,47,0.0008,0.18,2.6,0.65
0.002883036596656245,0.002883036596656245,0.004875603382775201,3.349775366326408,3.606147817055594e-05,0.03797779289610967,0.2559059596211484,48,0.0008,0.18,2.6,0.85
0.02287626693738816,0.02287626693738816,0.013458167649177457,5.40373497417077,0.0013187399382652127,0.02978202388271211,0.1863545595314477,49,0.0008,0.28,0.9,0.65
0.022313285809691705,0.022313285809691705,0.012690173136013455,5.399525365918336,0.000547215423037725,0.030100205281342364,0.24587793980261108,50,0.0008,0.28,0.9,0.85
0.006402867372996716,0.006402867372996716,0.007190546885898117,3.800580144417952,0.0006419080862210577,0.035879099704522195,0.19751876978468486,51,0.0008,0.28,1.7,0.65
0.006129731080328205,0.006129731080328205,0.006822628452027541,3.797809559189099,0.00027342904469816596,0.03623811911622136,0.2512869301472677,52,0.0008,0.28,1.7,0.85
0.0030536607193412616,0.0030536607193412616,0.005533280035609293,3.2100599262091687,0.00011544003801741424,0.03869019609052121,0.2079097805861073,53,0.0008,0.28,2.6,0.65
0.003005078882764823,0.003005078882764823,0.005467386234223577,3.209523176520968,4.942451825435305e-05,0.039034939334106455,0.2561445463157306,54,0.0008,0.28,2.6,0.85
